date,high,low,humidity,rainfall
2024-01-01,26.0,16.2,61,17.0
2024-01-02,29.5,22.9,54,16.8
2024-01-03,34.8,22.6,68,17.0
2024-01-04,27.7,15.3,90,0.8
2024-01-05,29.4,15.9,58,10.4
2024-01-06,33.9,23.8,56,0.9
2024-01-07,28.9,16.9,75,3.9
2024-01-08,29.9,17.5,71,15.6
2024-01-09,34.9,24.1,80,15.8
2024-01-10,31.2,16.7,79,7.5
2024-01-11,31.7,18.8,70,15.3
2024-01-12,32.0,16.3,55,4.5
2024-01-13,33.5,23.4,69,4.9
2024-01-14,30.5,23.9,89,19.6
2024-01-15,35.0,19.8,88,18.7
2024-01-16,33.2,24.3,89,11.5
2024-01-17,34.8,20.9,81,4.4
2024-01-18,30.9,18.6,76,10.5
2024-01-19,25.3,20.3,78,0.9
2024-01-20,25.4,18.3,78,15.9
2024-01-21,30.1,21.7,69,12.8
2024-01-22,30.8,24.7,52,12.5
2024-01-23,34.6,19.5,75,14.3
2024-01-24,28.7,15.3,75,4.8
2024-01-25,26.6,18.8,52,8.8
2024-01-26,31.1,23.1,79,19.6
2024-01-27,30.7,15.9,67,6.8
2024-01-28,34.1,21.1,83,9.5
2024-01-29,33.0,24.3,73,9.4
2024-01-30,25.1,24.9,56,7.3
2024-01-31,31.2,17.1,70,14.0
2024-02-01,29.6,24.3,64,13.4
2024-02-02,28.4,16.1,68,0.9
2024-02-03,34.6,24.0,60,2.2
2024-02-04,31.8,24.2,53,17.7
2024-02-05,26.2,17.4,64,4.0
2024-02-06,30.5,16.5,73,13.5
2024-02-07,25.1,21.7,77,3.2
2024-02-08,32.8,17.1,77,3.3
2024-02-09,33.1,24.3,66,0.8
2024-02-10,34.9,19.9,62,2.2
2024-02-11,27.9,20.1,58,0.4
2024-02-12,29.0,20.9,54,12.5
2024-02-13,26.0,21.5,68,6.1
2024-02-14,33.6,16.3,58,13.7
2024-02-15,25.2,18.0,52,10.3
2024-02-16,30.7,24.7,63,16.8
2024-02-17,26.0,15.5,73,11.2
2024-02-18,34.8,20.2,77,16.2
2024-02-19,33.1,23.3,79,12.4
2024-02-20,30.3,19.4,56,16.4
2024-02-21,33.0,20.8,75,9.3
2024-02-22,30.9,22.9,52,17.3
2024-02-23,27.0,19.5,50,16.9
2024-02-24,29.7,17.7,84,0.2
2024-02-25,27.6,24.5,60,3.8
2024-02-26,30.8,19.0,62,12.4
2024-02-27,27.4,19.3,63,9.8
2024-02-28,25.5,23.3,82,17.5
2024-02-29,26.8,22.0,88,4.7
